Model,R2 Score,MAE,RMSE,TOPSIS Score,Rank
Linear Regression,0.4569649839038026,14.028442123884913,17.84484069866064,0.9535659620728738,3
Decision Tree,-0.09194519197746764,18.9915224757242,25.304582608987157,0.025863420011636648,6
Random Forest,0.48307935249817524,13.635697103138915,17.410478123513116,1.0,1
KNN,-0.09687199031577287,19.730348472584566,25.361604823142013,0.0,5
SVR,0.021092782763098672,17.616744732343708,23.959046102418448,0.20984084900834096,2
Gradient Boosting,0.466210938086825,13.64652967893136,17.692271410270358,0.9712477606257108,4
